Date,SVol(20),IVol(20)
2/12/2019,9.177610547,13.39112258
3/12/2019,11.03041191,15.23600756
4/12/2019,11.14892375,15.37175294
5/12/2019,10.39937211,14.63775478
6/12/2019,12.15306209,16.39868466
9/12/2019,11.31740924,15.53411231
10/12/2019,11.39813171,15.58504964
11/12/2019,9.734121707,13.9109664
12/12/2019,10.48737775,14.67532406
13/12/2019,12.87086407,17.0589158
16/12/2019,9.749228534,13.93757707
17/12/2019,11.81223715,16.03930916
18/12/2019,11.84890472,16.0735394
19/12/2019,12.29762121,16.52079677
20/12/2019,9.789814808,14.00498828
23/12/2019,10.15284451,14.38186119
24/12/2019,12.17340482,16.39689152
27/12/2019,9.476543413,13.6775993
30/12/2019,11.14304948,15.38439837
31/12/2019,11.18264204,15.46727973
2/1/2020,9.348100312,13.61460111
3/1/2020,10.53108236,14.79192086
6/1/2020,9.059168584,13.3035286
7/1/2020,10.87369813,15.12464344
8/1/2020,11.06930667,15.32348778
9/1/2020,10.07255499,14.33686746
10/1/2020,11.06107605,15.31086215
13/1/2020,11.1329234,15.38073662
14/1/2020,10.83695,15.08305258
15/1/2020,10.86166851,15.10570537
16/1/2020,9.152075464,13.40982122
17/1/2020,10.14155912,14.4028997
20/1/2020,13.90972559,18.17154369
21/1/2020,11.07909175,15.3415999
22/1/2020,13.94463877,18.12938773
23/1/2020,14.20632013,18.38852396
24/1/2020,10.94371126,15.18649008
27/1/2020,12.18256858,16.43013478
28/1/2020,11.88645261,16.118984
29/1/2020,11.36669666,15.61008372
30/1/2020,11.17609516,15.41196322
31/1/2020,11.02990954,15.32559938
3/2/2020,11.22613633,15.46936508
4/2/2020,10.36747311,14.56918938
5/2/2020,10.06185789,14.25247612
6/2/2020,10.05074309,14.26307641
7/2/2020,10.85811399,15.05301295
10/2/2020,10.46917061,14.69996113
11/2/2020,9.980494889,14.20659418
12/2/2020,11.70471869,15.94904887
13/2/2020,10.74499008,14.9820136
14/2/2020,10.00115858,14.24371277
17/2/2020,9.702472353,13.94781432
18/2/2020,11.66671036,15.9167446
19/2/2020,12.79007996,17.03981454
20/2/2020,11.5125554,15.76060711
21/2/2020,10.49639995,14.75152568
24/2/2020,11.50134871,15.74199718
25/2/2020,12.82780438,17.02742554
27/2/2020,13.54450597,17.76349856
28/2/2020,11.03424429,15.23240711
2/3/2020,11.40520662,15.60838433
3/3/2020,12.03047444,16.19802103
4/3/2020,13.94359238,18.14314242
5/3/2020,12.55629632,16.66386687
6/3/2020,12.14674187,16.26880751
9/3/2020,10.60710473,14.71271232
10/3/2020,12.25319475,16.28466593
11/3/2020,11.01643001,15.07302543
12/3/2020,12.33484398,16.38217158
13/3/2020,13.04850153,17.0501126
16/3/2020,10.99398366,14.84500788
17/3/2020,11.62354513,15.43924516
18/3/2020,13.18433674,17.00482038
19/3/2020,13.19553391,17.09184832
20/3/2020,13.82755078,17.70158159
23/3/2020,14.05636828,17.78351671
24/3/2020,12.13783663,15.84033549
25/3/2020,11.88944225,15.5878703
26/3/2020,13.31803048,17.04316042
27/3/2020,11.17011116,14.94563793
30/3/2020,10.74149237,14.56120854
31/3/2020,12.74071635,16.61085337
1/4/2020,11.52664098,15.3495588
2/4/2020,10.76212798,14.60086646
3/4/2020,11.20667201,15.08877247
6/4/2020,11.4012562,15.29248007
7/4/2020,11.69826746,15.56708439
8/4/2020,10.9717609,14.88660534
9/4/2020,15.47773236,19.40002917
14/4/2020,11.0145882,14.99316629
15/4/2020,12.09948916,16.06756642
16/4/2020,11.37106232,15.28473314
17/4/2020,12.98228719,16.88940493
20/4/2020,10.59036512,14.50407083
21/4/2020,10.08709994,13.99865285
22/4/2020,12.60688696,16.50613713
23/4/2020,14.66249923,18.54536615
24/4/2020,10.55921839,14.46356636
27/4/2020,11.52888739,15.36427914
28/4/2020,11.20287508,15.00965385
29/4/2020,11.30930264,15.10970057
30/4/2020,10.70982948,14.51632031
1/5/2020,11.74544096,15.5442042
4/5/2020,11.66868057,15.47422061
5/5/2020,12.66363989,16.50191597
6/5/2020,11.00033161,14.83609842
7/5/2020,11.69058618,15.50479571
8/5/2020,8.980172206,12.81153298
11/5/2020,10.33221335,14.16072759
12/5/2020,11.93415237,15.75741541
13/5/2020,9.15345251,12.98408411
14/5/2020,11.73130569,15.54972741
15/5/2020,10.34534888,14.1627302
18/5/2020,11.37933693,15.19647311
19/5/2020,11.29804766,15.11297332
20/5/2020,11.34363069,15.16097425
21/5/2020,10.8766311,14.69016801
22/5/2020,10.5801496,14.39435664
26/5/2020,10.49860837,14.31767014
27/5/2020,11.49101722,15.32083291
28/5/2020,10.45625135,14.29020952
29/5/2020,12.51679108,16.3530778
1/6/2020,11.86547491,15.69464201
2/6/2020,14.475315,18.2938846
3/6/2020,11.20400614,15.02958994
4/6/2020,9.784985508,13.60203393
5/6/2020,12.83085533,16.63803572
8/6/2020,12.33748241,16.13211741
9/6/2020,9.855032332,13.6507464
10/6/2020,11.07035021,14.88050245
11/6/2020,12.48477578,16.31774365
12/6/2020,9.39199504,13.23627261
15/6/2020,9.890604927,13.72786967
16/6/2020,11.65707776,15.47553871
17/6/2020,8.794218684,12.62039772
18/6/2020,10.52444031,14.34911095
19/6/2020,10.2143489,14.01772989
22/6/2020,9.446123704,13.27980472
23/6/2020,15.50030137,19.30253292
24/6/2020,9.322060622,13.14307099
25/6/2020,11.84409797,15.70307302
26/6/2020,11.16346727,14.99278519
29/6/2020,11.10918886,14.94552362
30/6/2020,11.6175377,15.53478556
1/7/2020,6.587550015,10.46761173
2/7/2020,11.61559035,15.4538746
3/7/2020,10.27574053,14.12025179
6/7/2020,10.06091856,13.89609213
7/7/2020,11.37486957,15.20565099
8/7/2020,11.23531253,15.0545354
9/7/2020,11.41716318,15.2370546
10/7/2020,13.21782991,17.03624079
13/7/2020,10.91020383,14.73225932
14/7/2020,12.48028947,16.19616521
15/7/2020,11.65177395,15.44101488
16/7/2020,12.29657127,16.12946043
17/7/2020,9.369393302,13.20656034
20/7/2020,10.28003865,14.11126823
21/7/2020,12.2390431,16.06768944
22/7/2020,10.41379304,14.23749307
23/7/2020,11.03424429,14.78667522
24/7/2020,8.270781013,12.05237073
27/7/2020,9.228965836,13.00237923
28/7/2020,9.545883606,13.29220999
29/7/2020,12.70853741,16.44399921
30/7/2020,12.49347093,16.23608178
31/7/2020,9.150696519,12.89173796
