Date,SVol,IVol
2/1/2008,9.912893181,12.00019634
3/1/2008,11.3395359,13.4340343
4/1/2008,12.94006662,15.06550055
7/1/2008,14.82099828,16.96884911
8/1/2008,13.90344176,16.04810713
9/1/2008,9.694924685,11.82954114
10/1/2008,9.573593631,11.68804112
11/1/2008,11.35125324,13.48982621
14/1/2008,13.22506616,15.38875662
15/1/2008,11.36389167,13.52049405
16/1/2008,11.69419647,13.84595867
17/1/2008,9.998797732,12.15635705
18/1/2008,11.39595335,13.53485388
21/1/2008,12.72165892,14.86510222
22/1/2008,12.11635579,14.26824518
23/1/2008,9.995975572,12.1432388
25/1/2008,11.88241791,14.01323071
28/1/2008,13.17130591,15.3098249
29/1/2008,10.96470945,13.10143592
30/1/2008,11.70875537,13.83501206
31/1/2008,13.55208653,15.6609369
1/2/2008,12.71979706,14.83808531
4/2/2008,8.745125259,10.86138077
5/2/2008,11.82668456,13.93917157
7/2/2008,13.76017014,15.86734791
8/2/2008,9.397151834,11.52169827
11/2/2008,13.52504996,15.65826943
12/2/2008,10.10344436,12.24351052
13/2/2008,13.67317481,15.82511578
14/2/2008,12.74981744,14.91252788
15/2/2008,16.37754961,18.53453103
18/2/2008,11.27339843,13.45916413
19/2/2008,14.89683833,17.09012898
20/2/2008,12.95668653,15.15943996
21/2/2008,9.635608107,11.83283268
22/2/2008,11.61457912,13.8118037
25/2/2008,11.46113731,13.65752791
26/2/2008,10.48108358,12.65686638
27/2/2008,12.18629332,14.36689467
28/2/2008,9.210340372,11.37711605
29/2/2008,8.52158354,10.68219297
3/3/2008,12.92500453,15.07030523
4/3/2008,14.55651032,16.6600882
5/3/2008,12.78568712,14.88640996
6/3/2008,14.46661834,16.57079484
7/3/2008,10.2314955,12.33089723
10/3/2008,11.52781408,13.62008771
11/3/2008,11.10070761,13.19049208
12/3/2008,9.872409597,11.96220744
13/3/2008,12.02144644,14.13503208
14/3/2008,12.62111838,14.70907544
17/3/2008,11.07748557,13.15120921
18/3/2008,11.78920022,13.86029431
19/3/2008,10.68809661,12.75745699
20/3/2008,9.557116484,11.6166542
25/3/2008,10.06032035,12.13184844
26/3/2008,11.98997918,14.05935954
27/3/2008,9.754581429,11.82397264
28/3/2008,11.05753455,13.12793618
31/3/2008,10.58575072,12.66067278
1/4/2008,12.12283776,14.19965918
2/4/2008,13.41192069,15.49177387
3/4/2008,10.70324447,12.77840297
4/4/2008,10.85514543,12.92358751
7/4/2008,13.62338227,15.69063229
